title|year|running_time|genres|rating|synopsis|directors|actors|trailer_link|trailer_running_time|release_dates|enable_import
Jaws|1975|124|Adventure, Thriller|8|When an insatiable great white shark terrorizes the townspeople of Amity Island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.|Steven Spielberg|Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary|https://www.youtube.com/watch?v=U1fu_sA7XhE|201||1
Rocky|1976|120|Drama, Sport|8,1|When world heavyweight boxing champion, Apollo Creed wants to give an unknown fighter a shot at the title as a publicity stunt, his handlers choose palooka Rocky Balboa, an uneducated collector for a Philadelphia loan shark. Rocky teams up with trainer Mickey Goldmill to make the most of this once in a lifetime break.|John G. Avildsen|Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers|https://www.youtube.com/watch?v=3VUblDwa648|99||1
Monty Python and the Holy Grail|1975|91|Adventure, Comedy, Fantasy|8,2|"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not to enter, as ""it is a silly place""."|Terry Gilliam, Terry Jones |Graham Chapman, John Cleese, Eric Idle, Terry Gilliam|https://www.youtube.com/watch?v=urRkGvhXc8w|180||1
Life of Brian|1979|94|Comedy|8,1|Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.|Terry Jones|Graham Chapman, John Cleese, Michael Palin, Terry Gilliam|https://www.youtube.com/watch?v=TKPmGjVFbrY|125||1
The Exorcist|1973|122|Horror|8|12-year-old Regan MacNeil begins to adapt an explicit new personality as strange events befall the local area of Georgetown. Her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: Father Damien Karras, a troubled priest who is struggling with his own faith.|William Friedkin |Ellen Burstyn, Max von Sydow, Linda Blair, Lee J. Cobb|https://www.youtube.com/watch?v=YDGw1MTEe9k|102||1
Raging Bull|1980|129|Biography, Drama, Sport|8,2|The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.|Martin Scorsese |Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent|https://www.youtube.com/watch?v=yUp6d79WRVI|129||1
The Deer Hunter|1978|183|Drama, War|8,1|A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.|Michael Cimino|Robert De Niro, Christopher Walken, John Cazale, John Savage|https://www.youtube.com/watch?v=3Gqit3zVmyc|185||1
Chinatown|1974|130|Drama, Mystery, Thriller|8,1|Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.|Roman Polanski|Jack Nicholson, Faye Dunaway, John Huston, Perry Lopez|https://www.youtube.com/watch?v=p39LFdGI-YA|196||1
Annie Hall |1977|93|Comedy, Romance|8|New York comedian Alvy Singer falls in love with the ditsy Annie Hall.| Woody Allen|Woody Allen, Diane Keaton, Tony Roberts, Carol Kane|https://www.youtube.com/watch?v=OqVgCfZX-yE|128||1
Grease |1978|110|Musical, Romance|7,2|Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?|Randal Kleiser |John Travolta, Olivia Newton-John, Stockard Channing, Jeff Conaway|https://www.youtube.com/watch?v=qDKo8DNpwOw|126||1
The Sting|1973|129|Comedy, Crime, Drama|8,3|Set in the 1930s this intricate caper deals with an ambitious small-time crook and a veteran con man who seek revenge on a vicious crime lord who murdered one of their gang.|George Roy Hill |Paul Newman, Robert Redford, Robert Shaw, Charles Durning|https://www.youtube.com/watch?v=_nAIb_J9T5M|134||1
Dog Day Afternoon|1975|125|Biography, Crime, Drama|8|Based on the true story of would-be Brooklyn bank robbers John Wojtowicz and Salvatore Naturale. Sonny and Sal attempt a bank heist which quickly turns sour and escalates into a hostage situation and stand-off with the police. As Sonny's motives for the robbery are slowly revealed and things become more complicated, the heist turns into a media circus.|Sidney Lumet|Al Pacino, John Cazale, Penelope Allen, Sully Boyar|https://www.youtube.com/watch?v=Ne6KMHLTvik|159||1
Halloween|1978|91|Horror, Thriller|7,7|On a black and unholy Halloween night years ago, little Michael Myers brutally slaughtered his sister in cold bold. But for the last fifteen years, town residents have rested easy, knowing that he was safely locked away in a mental hospital  until tonight. Tonight, Michael returns to the same quiet neighbourhood to relive his grisly murder again...and again...and again. For this is a night of evil. Tonight is Halloween!|John Carpenter | Donald Pleasence, Jamie Lee Curtis, Tony Moran, Nancy Kyes|https://www.youtube.com/watch?v=T5ke9IPTIJQ|162||1
The Elephant Man|1980|124|Biography, Drama|8,1|"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous fa?ade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London."|David Lynch |Anthony Hopkins, John Hurt, Anne Bancroft, John Gielgud|https://www.youtube.com/watch?v=ZvJuJKOmZAY|184||1
Airplane!|1980|88|Comedy|7,7|Alcoholic pilot, Ted Striker has developed a fear of flying due to wartime trauma, but nevertheless boards a passenger jet in an attempt to woo back his stewardess girlfriend. Food poisoning decimates the passengers and crew, leaving it up to Striker to land the plane with the help of a glue-sniffing air traffic controller and Striker's vengeful former Air Force captain, who must both talk him down.|Jim Abrahams, David Zucker, Jerry Zucker |Robert Hays, Julie Hagerty, Leslie Nielsen, Kareem Abdul-Jabbar|https://www.youtube.com/watch?v=07pPmCfKi3U|209||1
